,Release_Date,Title,Overview,Popularity,Original_Language,Poster_Url,id,imdb_id,original_title,belongs_to_collection,Genre,tagline,cast,keywords,crew
2,2022-02-25,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2618.087,en,https://image.tmdb.org/t/p/original/vDHsLnOWKlPGmWs0kGfuhNF4w5l.jpg,130650.0,tt0047099,Huis clos,[],Thriller,,"['Arletty', 'Louis de Funès', 'Gaby Sylvia', 'Franck Villard', 'Yves Deniaud']",['woman director'],['Jacqueline Audry']
6,2022-01-12,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",1675.161,en,https://image.tmdb.org/t/p/original/kZNHR1upJKF3eTzdgl5V8s8a4C3.jpg,4232.0,tt0117571,Scream,[],"Horror, Mystery, Thriller",Someone has taken their love of scary movies one step too far.,"['David Arquette', 'Neve Campbell', 'Courteney Cox', 'Matthew Lillard', 'Rose McGowan']","['halloween', 'gore', 'serial killer', 'slasher', 'tabloid', 'news reporter', 'self-referential', 'meta film']",['Wes Craven']
12,2022-02-25,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",1468.377,fr,https://image.tmdb.org/t/p/original/aw4GGsRwhQtyLsjzC7dsAahfCDY.jpg,20160.0,tt0231971,Levottomat,[],"Action, Thriller, Crime",,"['Mikko Nousiainen', 'Laura Malmivaara', 'Petteri Summanen', 'Matleena Kuusniemi', 'Valtteri Roiha']",[],['Aku Louhimies']
15,2021-12-02,Nightmare Alley,An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,1455.144,en,https://image.tmdb.org/t/p/original/680klE0dIreQQOyWKFgNnCAJtws.jpg,19169.0,tt0039661,Nightmare Alley,[],"Crime, Drama, Thriller",He was all things to all men ... but only one thing to all women!,"['Tyrone Power', 'Joan Blondell', 'Coleen Gray', 'Helen Walker', 'Taylor Holmes']","['con man', 'carnival', 'con artist', 'classic noir', 'film noir']",['Edmund Goulding']
34,2022-02-09,Marry Me,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she decides to marry Charlie, a stranger in the crowd, instead.",761.793,en,https://image.tmdb.org/t/p/original/ko1JVbGj4bT8IhCWqjBQ6ZtF2t.jpg,326253.0,tt2788228,Trouw met mij,[],"Romance, Comedy, Music",,"['Dries de Sutter', 'Sirin Zahed', 'Burak Balci', 'Rudi Delhem', 'Anouk David']",[],['Kadir Balci']
36,2021-12-08,West Side Story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",678.186,en,https://image.tmdb.org/t/p/original/yfz3IUoYYSY32tkb97HlUBGFsnh.jpg,1725.0,tt0055614,West Side Story,[],"Drama, Romance, Crime",The screen achieves one of the great entertainments in the history of motion pictures,"['Natalie Wood', 'Richard Beymer', 'Russ Tamblyn', 'Rita Moreno', 'George Chakiris']","['slum', 'street gang', 'love at first sight', 'showdown', 'puerto rican', 'immigrant', 'highway', 'forbidden love', 'musical', 'rivalry', 'feud', 'interracial relationship', 'based on play or musical', 'sondheim', 'attempted rape', 'policeman', 'obsessive love', 'lifting female in air', 'young love', 'modern day adaptation', 'shakespeare in modern dress']",['Jerome Robbins']
48,2022-01-14,The House,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy.",551.65,en,https://image.tmdb.org/t/p/original/iZjMFSKCrleKolC1gYcz5Rs8bk1.jpg,134569.0,tt2408288,Jib,[],"Animation, Drama, Comedy, Horror",,"['Kim Kkobbi', 'Ha Jae-Sook', 'Choi Jeong-ho', 'Kim Hee-jin-I']","['cat', 'ghetto', 'seoul', 'spirit']",['Joo-Young Ban']
59,2021-04-07,Mortal Kombat,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",402.273,en,https://image.tmdb.org/t/p/original/nkayOAUBUu4mMvyNf9iHSUiPjF1.jpg,9312.0,tt0113855,Mortal Kombat,[],"Action, Fantasy, Adventure",Nothing In This World Has Prepared You For This.,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']",['Paul W.S. Anderson']
63,2021-09-15,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",394.295,en,https://image.tmdb.org/t/p/original/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,841.0,tt0087182,Dune,[],"Science Fiction, Adventure","A world beyond your experience, beyond your imagination.","['Kyle MacLachlan', 'Francesca Annis', 'Leonardo Cimino', 'Brad Dourif', 'José Ferrer']","['prophecy', 'witch', 'monster', 'telepathy', 'atomic bomb', 'space marine', 'emperor', 'mutation', 'insurgence', 'space travel', 'guild', 'duke', 'water', 'chosen one', 'dystopia', 'jihad', 'spice', 'war', 'messiah', 'denunciation']",['David Lynch']
66,2021-06-11,Queen of Spades,"According to legend, an ominous entity known as the Queen of Spades can be summoned by performing an ancient ritual. Four teenagers summon the Queen of Spades, but they could never imagine the horrors that await them.",387.159,en,https://image.tmdb.org/t/p/original/4IKBzVBPLXu9p5cfEfdJjHdlafV.jpg,423367.0,tt2231457,Дама Пик,[],Horror,,"['Kseniya Rappoport', 'Ivan Yankovskiy', 'Igor Mirkurbanov', 'Mariya Kurdenevich', 'Evgeniy Zelenskiy']",[],['Pavel Lungin']
